"Type.of.vehicle" "Single.Journey" "Return.Journey" "Monthly.Pass" "Local.Commercial.Vehicle" "tollbooth" "route" "concession" "Effective.Date" "Revision.Due.Date" "location" "Stretch" "Min.Road.Length" "Max.Road.Length" "funding.Model" "Capital.cost" "Commercial.Operation.Date" "Cumulative.Revenue" "Cumulative.Date" "Fee.Notification.Date" "Fee.Notification.No" "Design.Capacity" "Incharge" "Contractor" "Target.Traffic" "Target.Date" "Actual.Traffic" "Actual.Date" "Cumulative.Revenue.Discounted"
"300" "LCV" 40 60 2000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"301" "Bus/Truck" 80 120 4000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"302" "Upto 3 Axle Vehicle" 180 270 9000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"303" "4 to 6 Axle" 240 360 12000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"304" "HCM/EME" 240 360 12000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"305" "7 or more Axle" 240 360 12000 NA " Dastan ( Public Funded ) " 1 NA 2013-04-01 2016-03-31 " Dastan ( Public Funded )  Km 9.100 - NH-54 in Maharashtra  " " Jawaharlal Nehru Port (Phase-II)  " NA "s) " "( Public Funded ) " 1794600000 2010-11-28 447900000 2013-12-19 2010-11-20 "Sr No. - )" 25000 "Mr. Santosh Bholanath Shukla / 9930406868" "MEP Toll Pvt. Ltd." 13445 2013-12-19 13445 2013-12-19 FALSE
"306" "Car/Jeep/Van" 30 NA NA 15 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"307" "LCV" 50 NA NA 25 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"308" "Bus/Truck" 100 NA NA 50 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"309" "Upto 3 Axle Vehicle" 220 330 NA 110 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"310" "4 to 6 Axle" 220 330 NA 110 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"311" "HCM/EME" 220 330 NA 110 " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"312" "7 or more Axle" NA NA NA NA " Chirle ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Chirle ( Public Funded )  Km 13.050 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"313" "Car/Jeep/Van" 30 NA NA 15 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"314" "LCV" 50 NA NA 25 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"315" "Bus/Truck" 100 NA NA 50 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"316" "Upto 3 Axle Vehicle" 220 330 NA 110 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"317" "4 to 6 Axle" 220 330 NA 110 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"318" "HCM/EME" 220 330 NA 110 " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"319" "7 or more Axle" NA NA NA NA " Karanjade ( Public Funded ) " 1 NA 2015-07-01 2016-06-30 " Karanjade ( Public Funded )  Km 23.250 - NH-4B in Maharashtra  " " Jawahar Lal Nehru Port Connectivity Project (Phase-I)  " NA "s) " "( Public Funded ) " 1752900000 2005-08-09 3947400000 2013-12-19 2005-07-13 "Sr No. - )" 60000 "Mr. M. P. Tyagi / 9769409032" "MEP Toll Pvt. Ltd." 36855 2013-12-19 36855 2013-12-19 FALSE
"320" "Car/Jeep/Van" 55 85 1870 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"321" "LCV" 90 135 3015 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"322" "Bus/Truck" 190 285 6320 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"323" "Upto 3 Axle Vehicle" 295 445 9915 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"324" "4 to 6 Axle" 295 445 9915 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"325" "HCM/EME" 295 445 9915 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"326" "7 or more Axle" 360 545 12070 NA " Anewadi ( BOT ) " 1 "Monthly Pass Applicable for Non-commercial for 20 Km is Rs-230/-" 2015-04-01 2016-03-31 " Anewadi ( BOT )  Km 748.600 - NH-4 in Maharashtra  " " Pune - Satara  " 56 "s) " "( BOT ) " 17245500000 2010-10-01 2416800000 2014-09-30 2010-08-26 "Sr No. - 2090 " 120000 "Subhash Manapure / 8600990365" "M/s PS Toll Road Pvt. ltd." 60848 2017-03-31 35335 2013-10-31 FALSE
"327" "Car/Jeep/Van" 47 70 1409 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"328" "LCV" 82 123 2465 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"329" "Bus/Truck" 164 247 4930 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"330" "Upto 3 Axle Vehicle" 264 396 7924 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"331" "4 to 6 Axle" 264 396 7924 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"332" "HCM/EME" 264 396 7924 NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"333" "7 or more Axle" NA NA NA NA " Mettupatti ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Mettupatti ( BOT )  Km 21.750 - NH-68 in Tamil Nadu  " " Salem - Ulundurpet  " 45.452 "s) " "( BOT ) " 9410000000 2013-01-09 206700000 2014-05-31 2012-01-13 "Sr No. - 70 " 85825 "P.Paraman / 9994296798" "SU Toll Road Private Limited" 22000 2014-05-31 21539 2014-05-31 FALSE
"334" "Car/Jeep/Van" 41 62 1244 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"335" "LCV" 73 109 2177 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"336" "Bus/Truck" 145 218 4353 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"337" "Upto 3 Axle Vehicle" 233 350 6996 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"338" "4 to 6 Axle" 233 350 6996 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"339" "HCM/EME" 233 350 6996 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"340" "7 or more Axle" 233 350 6996 NA " Doddakarenahalli (Neelmangala ) ( BOT ) " 1 NA 2015-09-01 2016-08-31 " Doddakarenahalli (Neelmangala ) ( BOT )  Km 32.600 - NH-75 (Old 4) in Karnataka  " " Neelamangla Junction - Devihalli  " 82.262 "s) " "( BOT ) " 7360000000 2012-06-23 586300000 2013-12-30 2012-06-10 "Sr No. - 842 " NA "CH Jithendhar / 8027738059" "Lanco Devihalli Highawys Ltd" NA 2017-12-31 24347 2013-12-30 FALSE
"341" "Car/Jeep/Van" 45 70 1415 NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"342" "LCV" 80 125 2475 NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"343" "Bus/Truck" 165 245 4950 NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"344" "Upto 3 Axle Vehicle" 265 400 7955 NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"345" "4 to 6 Axle" 265 400 7955 NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"346" "HCM/EME" NA NA NA NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"347" "7 or more Axle" NA NA NA NA " Thirumandurai ( BOT ) " 1 "Concession fee for the multiple trips within a day and monthly 
pass for use of section continuously and frequently will be @1.5 times 
and 30 times of single journey rates respectively ." 2015-09-01 2016-08-31 " Thirumandurai ( BOT )  Km 244.000 - NH-45 in Tamil Nadu  " " Ulundurpet - Padalur  " 46.947 "s) " "( BOT ) " 3737800000 2009-09-05 1411400000 2013-10-31 2009-07-24 "Sr No. - 1826" 40000 "Mr.Mahendran / 9750937386" "Trichytollway Private Limited" NA 2001-01-01 29240 2013-10-31 FALSE
"348" "Car/Jeep/Van" 70 110 2400 35 " Paduna ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicle:Rs 230/-" 2015-04-01 2016-03-31 " Paduna ( Public Funded )  Km 311.100 - NH-8 in Rajasthan  " " Udaipur - Kherwara  " NA "s) " "( Public Funded ) " 2773700000 2005-05-05 1707900000 2015-02-28 2012-09-26 "Sr No. - S.O.1714" 60000 "Sh. Vinay Panwar / 8879114493" "Konark Infrastructure Ltd." NA 2001-01-01 44378 2013-11-18 FALSE
"349" "LCV" 115 175 3875 60 " Paduna ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicle:Rs 230/-" 2015-04-01 2016-03-31 " Paduna ( Public Funded )  Km 311.100 - NH-8 in Rajasthan  " " Udaipur - Kherwara  " NA "s) " "( Public Funded ) " 2773700000 2005-05-05 1707900000 2015-02-28 2012-09-26 "Sr No. - S.O.1714" 60000 "Sh. Vinay Panwar / 8879114493" "Konark Infrastructure Ltd." NA 2001-01-01 44378 2013-11-18 FALSE
"350" "Bus/Truck" 245 365 8115 120 " Paduna ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicle:Rs 230/-" 2015-04-01 2016-03-31 " Paduna ( Public Funded )  Km 311.100 - NH-8 in Rajasthan  " " Udaipur - Kherwara  " NA "s) " "( Public Funded ) " 2773700000 2005-05-05 1707900000 2015-02-28 2012-09-26 "Sr No. - S.O.1714" 60000 "Sh. Vinay Panwar / 8879114493" "Konark Infrastructure Ltd." NA 2001-01-01 44378 2013-11-18 FALSE
"351" "Upto 3 Axle Vehicle" 265 400 8855 135 " Paduna ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicle:Rs 230/-" 2015-04-01 2016-03-31 " Paduna ( Public Funded )  Km 311.100 - NH-8 in Rajasthan  " " Udaipur - Kherwara  " NA "s) " "( Public Funded ) " 2773700000 2005-05-05 1707900000 2015-02-28 2012-09-26 "Sr No. - S.O.1714" 60000 "Sh. Vinay Panwar / 8879114493" "Konark Infrastructure Ltd." NA 2001-01-01 44378 2013-11-18 FALSE
"352" "4 to 6 Axle" 380 575 12725 190 " Paduna ( Public Funded ) " 1 "Monthly pass applicable for local non-commercial vehicle:Rs 230/-" 2015-04-01 2016-03-31 " Paduna ( Public Funded )  Km 311.100 - NH-8 in Rajasthan  " " Udaipur - Kherwara  " NA "s) " "( Public Funded ) " 2773700000 2005-05-05 1707900000 2015-02-28 2012-09-26 "Sr No. - S.O.1714" 60000 "Sh. Vinay Panwar / 8879114493" "Konark Infrastructure Ltd." NA 2001-01-01 44378 2013-11-18 FALSE
